ESPACIO,CATEGORIA,TAREAS,FRECUENCIA,TAREAS_FRECUENCIA
P.E.S.,E,Limpieza,Diaria,"Limpieza, Diaria"
P.E.S.,E,Recorte de coirones/poda,Anual,"Recorte de coirones/poda, Anual"
P.E.S.,E,Riego ,Diario/semanal,"Riego , Diario/semanal"
P.E.S.,E,Corte de verdes,Semestral,"Corte de verdes, Semestral"
P.E.S.,E,Aplicación de glifosato/desyuyar,Trimestral,"Aplicación de glifosato/desyuyar, Trimestral"
P.E.S.,E,Mantenimiento de texturas,Semestral,"Mantenimiento de texturas, Semestral"
P.E.S.,E,Pintura,Anual,"Pintura, Anual"
P.E.S.,E,Moviliario urbano,Anual,"Moviliario urbano, Anual"
P.E.S.,E,Iluminación,,"Iluminación, "
P.E.S.,E,Juegos/Deporte,Anual,"Juegos/Deporte, Anual"
P.E.S.,A,Limpieza,Diaria,"Limpieza, Diaria"
P.E.S.,A,Recorte de coirones/poda,Anual,"Recorte de coirones/poda, Anual"
P.E.S.,A,Riego ,Semanal,"Riego , Semanal"
P.E.S.,A,Corte de verdes,Cada 2 semanas,"Corte de verdes, Cada 2 semanas"
P.E.S.,A,Aplicación de glifosato/desyuyar,Trimestral,"Aplicación de glifosato/desyuyar, Trimestral"
P.E.S.,A,Mantenimiento de texturas,Semestral,"Mantenimiento de texturas, Semestral"
P.E.S.,A,Pintura,Anual,"Pintura, Anual"
P.E.S.,A,Moviliario urbano,Anual,"Moviliario urbano, Anual"
P.E.S.,A,Iluminación,,"Iluminación, "
P.E.S.,A,Juegos/Deporte,Anual,"Juegos/Deporte, Anual"
P.E.S.,B,Limpieza,2 veces por semana,"Limpieza, 2 veces por semana"
P.E.S.,B,Recorte de coirones/poda,Anual,"Recorte de coirones/poda, Anual"
P.E.S.,B,Riego ,Cada 2 semanas,"Riego , Cada 2 semanas"
P.E.S.,B,Corte de verdes,Cada 3 semanas,"Corte de verdes, Cada 3 semanas"
P.E.S.,B,Aplicación de glifosato/desyuyar,Trimestral,"Aplicación de glifosato/desyuyar, Trimestral"
P.E.S.,B,Mantenimiento de texturas,Semestral,"Mantenimiento de texturas, Semestral"
P.E.S.,B,Pintura,Anual,"Pintura, Anual"
P.E.S.,B,Moviliario urbano,Anual,"Moviliario urbano, Anual"
P.E.S.,B,Iluminación,,"Iluminación, "
P.E.S.,B,Juegos/Deporte,Anual,"Juegos/Deporte, Anual"
P.E.S.,C,Limpieza,Mensual,"Limpieza, Mensual"
P.E.S.,C,Recorte de coirones/poda,Anual,"Recorte de coirones/poda, Anual"
P.E.S.,C,Riego ,Mensual,"Riego , Mensual"
P.E.S.,C,Corte de verdes,Mensual,"Corte de verdes, Mensual"
P.E.S.,C,Aplicación de glifosato/desyuyar,Semestral,"Aplicación de glifosato/desyuyar, Semestral"
P.E.S.,C,Mantenimiento de texturas,Semestral,"Mantenimiento de texturas, Semestral"
P.E.S.,C,Pintura,Anual,"Pintura, Anual"
P.E.S.,C,Moviliario urbano,Anual,"Moviliario urbano, Anual"
P.E.S.,C,Iluminación,,"Iluminación, "
P.E.S.,C,Juegos/Deporte,Anual,"Juegos/Deporte, Anual"
Ciclovía,E,Limpieza (sopladora),Mensual,"Limpieza (sopladora), Mensual"
Ciclovía,E,Pintura,Anual,"Pintura, Anual"
Ciclovía,E,Mantenimiento de obra,Mensual,"Mantenimiento de obra, Mensual"
Ciclovía,E,Iluminación,,"Iluminación, "
Ciclovía,E,Desmalezado,Mensual,"Desmalezado, Mensual"
Ciclovía,A,Limpieza (sopladora),Bimestral,"Limpieza (sopladora), Bimestral"
Ciclovía,A,Pintura,Anual,"Pintura, Anual"
Ciclovía,A,Mantenimiento de obra,Bimestral,"Mantenimiento de obra, Bimestral"
Ciclovía,A,Iluminación,,"Iluminación, "
Ciclovía,A,Desmalezado,Mensual,"Desmalezado, Mensual"
Ciclovía,B,Limpieza (sopladora),Trimestral,"Limpieza (sopladora), Trimestral"
Ciclovía,B,Pintura,Cada 2 Años,"Pintura, Cada 2 Años"
Ciclovía,B,Mantenimiento de obra,Trimestral,"Mantenimiento de obra, Trimestral"
Ciclovía,B,Iluminación,,"Iluminación, "
Ciclovía,B,Desmalezado,Bimestral,"Desmalezado, Bimestral"
Ciclovía,C,Limpieza (sopladora),Bianual,"Limpieza (sopladora), Bianual"
Ciclovía,C,Pintura,Cada 3 Años,"Pintura, Cada 3 Años"
Ciclovía,C,Mantenimiento de obra,Bianual,"Mantenimiento de obra, Bianual"
Ciclovía,C,Iluminación,,"Iluminación, "
Ciclovía,C,Desmalezado,Trimestral,"Desmalezado, Trimestral"
,,Siembra,,
