NOMBRE PRIMARIO,TIPO,JERARQUIA,NOMBRE ESPECIFICO,PRIORIDAD,CONCURRENCIA,RESPONSABLE,LATITUD,LONGITUD,DISTRITO
ACCESO SUR (CANTERO CENTRAL Y LATERALES),Cantero,Primario,,A,,Higiene Urbana,,,
ALBERTI (JUJUY-SAN MARTIN),Ciclovía,Primario,,C,,Higiene Urbana y Obras,-33.022012,-68.87554165,
ALMIRANTE BROWN Y VIAMONTE,P.E.S.,Primario,,E,,Obras y EP,-33.0057102,-68.88711724,CHACRAS DE CORIA
ALMTE BROWN (GUARDIA VIEJA-CACIQUE GLLEN),Ciclovía,Primario,,E,,Higiene Urbana y Obras,-33.00552164,-68.88899722,
ALZAGA (ALMTE BROWN-BESARES),Ciclovía,Primario,,A,,Higiene Urbana y Obras,-32.99262927,-68.87132925,CHACRAS DE CORIA
ANCHORENA (SAN MARTIN-CEMENTERIO),Ciclovía,Secundario,,C,,Higiene Urbana y Obras,-33.02346302,-68.86360426,MAYOR DRUMOND
ARAOZ OESTE,Rotonda,Primario,,A,,Obras y EP,,,MAYOR DRUMOND
BALCARCE,Rotonda,Primario,,A,,Obras y EP,-33.0405692,-68.87342117,CIUDAD
BESARES (ALZAGA-SAN MARTIN),Ciclovía,Primario,,A,,Higiene Urbana y Obras,-32.98093183,-68.86426409,CARRODILLA
BESARES Y SAN MARTÍN,Rotonda,Primario,,E,,Obras y EP,,,CARRODILLA
BOEDO (SAN MARTIN-VIEYTES),Ciclovía,Primario,,A,,Higiene Urbana y Obras,-32.98588615,-68.84323823,CARRODILLA
BOEDO Y SANDWICH DEL SUR,P.E.S.,Primario,,E,,Parque Cívico,-32.98349399,-68.85578226,CARRODILLA
BONARDA Y PARQUE CÍVICO,P.E.S.,Secundario,,C,,Parque Cívico,-32.9850702,-68.85584883,CARRODILLA
BOULEVARD LOS TARCOS,Paseo,Terciario,,C,,Higiene Urbana,,,
BRANDSEN (tres esquinas),Rotonda,Secundario,,A,,Obras y EP,,,PERDRIEL
COBOS Y BRANDSEN,Rotonda,Secundario,,B,,Obras y EP,,,PERDRIEL
CALLE PASO (Boulevard Y Laterales),Boulevard,Primario,,A,,Delegación,,,LA PUNTILLA
CALLE SAENZ PEÑA,Cantero,Primario,,A,,Higiene Urbana,,,VISTALBA
CANAL SECO VIAMONTE (UGARTE-ITALIA),Ciclovía,Secundario,,E,,Higiene Urbana y Obras,-32.9751562,-68.87085939,CHACRAS DE CORIA
CARIDAD (LARREA-LINIERS),Ciclovía,Secundario,,B,,Higiene Urbana y Obras,-32.98743326,-68.87614276,CHACRAS DE CORIA
CARRIZAL (PUEBLO UNIDAD-LAS TURBERAS),Ciclovía,Terciario,,C,,Higiene Urbana y Obras,-33.31503433,-68.7697033,EL CARRIZAL
CATAMARCA Y GASCON,P.E.S.,Terciario,,C,,Higiene Urbana,-33.02998211,-68.86736009,MAYOR DRUMOND
CICLOVIA CALLE CHILE,Ciclovía,Primario,,E,,Higiene Urbana y Obras,-33.02745117,-68.88914706,CIUDAD
CICLOVIA CALLE CHILE,Arte Urbano,Secundario,Las Advocaciones,A,,Higiene Urbana,-33.0283803,-68.89033255,CIUDAD
CICLOVÍA Y CANAL SECO VIAMONTE (Besares al Norte),P.E.S.,Terciario,,C,,Delegación,-32.98068219,-68.87472235,CHACRAS DE CORIA
CORREDOR DEL OESTE,Rotonda,Primario,,E,,Obras y EP,,,LA PUNTILLA
CUBILLOS (MATHEU-BESARES),Ciclovía,Primario,,B,,Higiene Urbana y Obras,-32.97688252,-68.86442039,
DARRAGUEIRA Y LA CUESTA (Derivador),Rotonda,Secundario,,B,,Obras y EP,,,LA PUNTILLA
ESQUINA PUEYRREDON Y VIAMONTE,Paseo,Secundario,,C,,Obras y EP,-32.99353883,-68.88683879,CHACRAS DE CORIA
ESQUINA VIEYTES Y BOEDO,Paseo,Secundario,,B,,Obras y EP,-32.98934896,-68.82579605,CARRODILLA
FERIAGRO,Paseo,Secundario,,B,,Higiene Urbana,,,
FFCC (LARREA-ALZAGA),Ciclovía,Terciario,,B,,Higiene Urbana y Obras,-32.98975167,-68.87196827,CHACRAS DE CORIA
GAVIOLA Y PATRICIOS,Rotonda,Secundario,,C,,Obras y EP,-33.02751296,-68.87840447,CIUDAD
GOB. ORTIZ ,Paseo,,,B,,Higiene Urbana,,,
GUARDIA VIEJA (ALMTE BROWN-SAENZ PEÑA),Ciclovía,Primario,,E,,Higiene Urbana y Obras,-33.01858208,-68.90907247,VISTALBA
HEROES DE MALVINAS (CARRODILLA-PASO),Ciclovía,Secundario,,C,,Higiene Urbana y Obras,-32.96164099,-68.85443535,CARRODILLA
HEROES DE MALVINAS Y CARRODILLA,P.E.S.,Primario,,A,,Delegación,-32.95872797,-68.8527258,CARRODILLA
INMIGRANTE,Rotonda,Primario,,E,,Obras y EP,-33.03202828,-68.90838316,VISTALBA
ITALIA (FFCC-LINIERS),Ciclovía,Secundario,,B,,Higiene Urbana y Obras,-32.98536184,-68.88053915,CHACRAS DE CORIA
ITALIA Y FFCC,P.E.S.,Primario,,A,,Delegación,-32.98481617,-68.87997483,CHACRAS DE CORIA
LINIERS (ITALIA-ALZAGA),Ciclovía,Secundario,,B,,Higiene Urbana y Obras,-32.98591752,-68.87378436,CHACRAS DE CORIA
LUJÁN JOVEN,Paseo,Primario,,E,,Higiene Urbana,-33.03374847,-68.89678129,CIUDAD
LUJAN PLAYA (BAJADA AL RIO),Ciclovía,Secundario,,C,,Higiene Urbana y Obras,-33.03909756,-69.02113791,LAS COMPUERTAS
MATHEU (CUBILLOS-PANAMA),Ciclovía,Primario,,B,,Higiene Urbana y Obras,-32.97186901,-68.86131577,
MIRADOR BALCARCE OESTE,Mirador,Primario,,A,,Higiene Urbana,,,CIUDAD
MIRADOR RUINAS DE FADER,Mirador,Secundario,,B,,Delegación,-33.04478913,-69.09608972,CACHEUTA
MONUMENTO CARRIZAL,Arte Urbano,Secundario,,B,,Delegación,,,EL CARRIZAL
MOSCONI,Paseo,Primario,,B,,Higiene Urbana,,,CIUDAD
NEW JERSEY (Calle Paso),Paseo,Secundario,,C,,Delegación,,,CARRODILLA
NEW JERSEY (CORREDOR DEL OESTE),Paseo,Secundario,,C,,Delegación,,,LA PUNTILLA
OLAVARRÍA Y TERRADA,P.E.S.,Terciario,,C,,Delegación,-33.06999045,-68.86837896,PERDRIEL
PANAMA (MATHEU-PASO),Ciclovía,Primario,,B,,Higiene Urbana y Obras,-32.96869923,-68.85809994,
PANAMERICANA (LA PAMPA-UGARTE),Ciclovía,Primario,,E,,Higiene Urbana y Obras,-32.95962095,-68.86314042,
PANAMERICANA Y UGARTE,Rotonda,Primario,,A,,Obras y EP,,,LA PUNTILLA
PARQUE FERRI,Ciclovía,Primario,,A,,Obras y EP,,,CIUDAD
PARQUE FERRI,Ciclovía,Primario,,C,,Higiene Urbana y Obras,-33.03822504,-68.87382738,CIUDAD
PARQUE FERRI,Parque,Primario,,E,,Higiene Urbana,-33.03842122,-68.87374055,CIUDAD
PARQUE UNIVERSITARIO,Plazas,Secundario,,C,,Delegación,-32.97597407,-68.8389086,CARRODILLA
PARQUE URBANO P.U.L,Rotonda,Primario,,B,,Obras y EP,,,CIUDAD
PARQUE URBANO P.U.L.,Paseo,Primario,,E,,Higiene Urbana,-33.03983231,-68.87313604,CIUDAD
PASEO CARRODILLA,Paseo,Terciario,,C,,Delegación,,,CARRODILLA
PASEO DE LAS ESTACIONES,Paseo,Primario,,A,,Higiene Urbana,-33.03576017,-68.87529392,CIUDAD
PASEO DE LAS ESTACIONES,Ciclovía,Secundario,,E,,Higiene Urbana y Obras,-33.02902559,-68.87648326,CIUDAD
PASEO GUEVARA,Paseo,Secundario,,B,,Higiene Urbana,,,CIUDAD
PASEO HEROES DE MALVINAS,Paseo,Primario,,E,,Delegación,-32.96538892,-68.85530999,CARRODILLA
PASEO LENCINAS,Paseo,Terciario,,C,,Higiene Urbana,-33.03084808,-68.87156179,CIUDAD
PASEO LIBERTAD,Paseo,Secundario,,B,,Higiene Urbana,,,CIUDAD
PASEO MALBEC,Ciclovía,Secundario,,C,,Higiene Urbana y Obras,,,CIUDAD
PASEO MALBEC,Paseo,Primario,,B,,Higiene Urbana,-33.03540706,-68.86650832,CIUDAD
PASO (PANAMERICANA-SAN MARTIN),Ciclovía,Secundario,,E,,Higiene Urbana y Obras,-32.96370393,-68.86202352,
PASO (SAN MARTIN-M. A SAENZ),Ciclovía,Primario,,C,,Higiene Urbana y Obras,-32.96648971,-68.84821186,
PASO Y ALZAGA,Rotonda,Primario,,A,,Obras y EP,-32.96396105,-68.86163246,LA PUNTILLA
PASO Y SAN MARTIN,Rotonda,Primario,,E,,Obras y EP,-32.96560544,-68.85418165,CARRODILLA
PASO Y UGARTE,Rotonda,Secundario,,A,,Obras y EP,-32.96156948,-68.86362851,LA PUNTILLA
PERILAGO POTRERILLOS,Ciclovía,Secundario,,C,,Higiene Urbana y Obras,-32.97393599,-69.18330756,POTRERILLOS
PINCOLINI,Rotonda,Secundario,,B,,Obras y EP,-33.03551948,-68.91124485,VISTALBA
PISTA DE MANEJO,Rotonda,Terciario,,C,,Obras y EP,-33.04502735,-68.8821049,CIUDAD
PLAYÓN DEPORTIVO VERTIENTES,Plazas,Secundario,,A,,Delegación,,,VERTIENTES DE PEDEMONTE
PLAYÓN EL CARRIZAL,Plazas,Secundario,,B,,Delegación,,,EL CARRIZAL
PLAZA 21 DE JULIO,Plazas,Primario,,B,,Delegación,-32.97640905,-68.85286597,CARRODILLA
PLAZA 5 DE JULIO,Plazas,Terciario,,C,,Delegación,-33.052037,-68.883774,
PLAZA ACCIONAR,Plazas,Terciario,,C,,Delegación,,,
PLAZA ADINA,Plazas,Secundario,,C,,Delegación,-33.05620042,-68.88550514,PERDRIEL
PLAZA AGRELO,Plazas,Primario,,B,,Delegación,-33.0916387,-68.96853068,AGRELO
PLAZA AGUA Y ENERGÍA,Plazas,Secundario,,B,,Delegación,-32.96605209,-68.84405432,CARRODILLA
PLAZA AROMAS DEL PLATA,Plazas,Terciario,,C,,Higiene Urbana,,,PERDRIEL
PUL,Ciclovía,,,C,,Higiene Urbana y Obras,-33.05305731,-68.87647262,
PLAZA B° 27 DE ABRIL,Plazas,Secundario,,C,,Higiene Urbana,-32.97640905,-68.85286597,VISTALBA
PLAZA B° ALTO DRUMMOND,Plazas,Secundario,,C,,Higiene Urbana,-33.01442345,-68.85838395,MAYOR DRUMOND
PLAZA B° CEC,Plazas,Secundario,,C,,Higiene Urbana,,,CIUDAD
PLAZA B° CEFERINO NAMUNCURA,Plazas,Terciario,,C,,Delegación,-33.0237635,-68.86313722,MAYOR DRUMOND
PLAZA B° CORDÓN DEL PLATA,Plazas,Secundario,,C,,Higiene Urbana,-33.01338135,-68.88848783,VISTALBA
PLAZA B° COSTA FLORES,Plazas,Terciario,,C,,Delegación,-33.06944132,-68.92666966,
PLAZA B° CURVIFLOR (TURBERAS),Plazas,Terciario,,B,,Delegación,,,
PLAZA B° EL PINAR,Plazas,Terciario,,B,,Delegación,-32.96607749,-68.86635149,
PLAZA B° HUARPES III,Plazas,Terciario,,C,,Delegación,,,
PLAZA B° IV PERDRIEL,Plazas,Secundario,,C,,Delegación,-33.07812826,-68.91466351,PERDRIEL
