Tipo de espacio público,Nombre de espacio público,Estado actual de conservación,Tarea realizada,Área Responsable,Fecha
Plazas,B° ALTO DRUMMOND,Bueno,Desmalezado,Higiene Urbana,20/04/2026
Plazas,PLAZA LAS PARRAS,Bueno,Limpieza,Higiene Urbana,20/04/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,20/04/2026
Plazas,UGARTECHE,Bueno,Desmalezado,Higiene Urbana,17/04/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,16/04/2026
Paseo y Espacios Públicos,PASEO DE LAS ESTACIONES (ALBERTI-FERRI),Bueno,Limpieza,Higiene Urbana,16/04/2026
Plazas,PLAZA DE LOS BOMBEROS,Bueno,Limpieza,Higiene Urbana,15/04/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,15/04/2026
Plazas,PLAZA UGARTECHE,Bueno,Limpieza,Higiene Urbana,15/04/2026
Plazas,PLAZA DE LOS ESCRITORES,Bueno,Limpieza,Higiene Urbana,14/04/2026
Plazas,PLAZA MOSCONI,Bueno,Limpieza,Higiene Urbana,14/04/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,14/04/2026
Plazas,PLAZA VILLA DEL RIO (CEC),Bueno,Limpieza,Higiene Urbana,13/04/2026
Plazas,ESPACIO I B° 13 DE DICIEMBRE EN JOSE HERNANDEZ,Regular,Limpieza,Higiene Urbana,13/04/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Limpieza,Higiene Urbana,13/04/2026
Rotonda,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,19/05/2026
P.E.S.,BOEDO Y SANDWICH DEL SUR,Bueno,Limpieza,Obras y EP,19/05/2026
Plazas,VALLE DE CHACRAS,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,19/05/2026
Rotonda,CORREDOR DEL OESTE,Bueno,Aplicación de glifosato/desyuyar,Obras y EP,19/05/2026
Rotonda,CORREDOR DEL OESTE,Bueno,Limpieza,Obras y EP,19/05/2026
Paseo y Espacios Públicos,LETRAS ANSES RUTA 15,Bueno,Limpieza,Obras y EP,12/05/2026
Paseo y Espacios Públicos,LETRAS ANSES RUTA 15,Bueno,Pintura,Obras y EP,12/05/2026
Rotonda,AZCUENAGA Y ACCESO SUR,Bueno,Limpieza,Obras y EP,12/05/2026
Rotonda,AZCUENAGA Y ACCESO SUR,Bueno,Riego ,Obras y EP,12/05/2026
Rotonda,AZCUENAGA Y ACCESO SUR,Bueno,Limpieza,Obras y EP,07/05/2026
Rotonda,DARRAGUEIRA Y LA CUESTA (Derivador),Bueno,Limpieza,Obras y EP,28/04/2026
Rotonda,RUTA 82 Y CARACOLES,Bueno,Limpieza,Obras y EP,28/04/2026
Rotonda,BRANDSEN Y COBOS,Bueno,Limpieza,Obras y EP,27/04/2026
Paseo y Espacios Públicos,CANTERO CENTRAL CALLE CHILE,Bueno,Limpieza,Obras y EP,27/04/2026
Rotonda,BALCARCE,Bueno,Limpieza,Obras y EP,27/04/2026
Rotonda,PUL,Bueno,Limpieza,Obras y EP,27/04/2026
P.E.S.,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,23/04/2026
Rotonda,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,23/04/2026
Paseo y Espacios Públicos,VIRGEN DE CARRODILLA,Bueno,Limpieza,Obras y EP,23/04/2026
Paseo y Espacios Públicos,HEROES DE MALVINAS,Bueno,Limpieza,Obras y EP,23/04/2026
Rotonda,PASO Y SAN MARTIN,Bueno,Limpieza,Obras y EP,23/04/2026
Rotonda,PASO Y ALZAGA,Bueno,Limpieza,Obras y EP,23/04/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,10/04/2026
Paseo y Espacios Públicos,PUL,Bueno,Desmalezado,Higiene Urbana,09/04/2026
Paseo y Espacios Públicos,ACCESO SUR (CANTERO CENTRAL Y LATERALES),Bueno,Desmalezado,Higiene Urbana,08/04/2026
