USO,ORDEN_U,COD_USO,DESTINO,UEA,ZAI,ZAE,ZAGT,ZC,ZCM1,ZCM2,ZCM3,ZCM4,ZCM5,ZCON,ZCA,ZED,ZEPM,ZI,ZIA,ZIN,ZIP,ZPET,ZREC1,ZREC2,ZPRIL,ZRA1,ZRA2,ZRA3,ZRA4,ZRA5,ZRPUC,ZR1,ZR2,ZR3,ZR4,ZR5,ZRM1,ZRM2,ZRM3,ZRM5,ZRM6,ZRUR1,ZRUR2,ZVIT,ZRURNI1,ZRURNI2,ZSER
RESIDENCIAL,A,RE_A, VIVIENDA INDIVIDUAL O VIVIENDA DE ALQUILER TEMPORARIO- Sólo una unidad por superficie mínima de parcela permitida                         ,NO,1,1,1,21,1,1,1,1,1,219,219,219,1,219,219,3,3,1,1,1,1,1,1,1,1,1,219,1,1,1,1,1,1,1,218,1,1,1,1,219,1,1,216
RESIDENCIAL,B,RE_B,"CONJUNTO DE HASTA 2 VIVIENDAS INDIVIDUALES O 2 CABAÑAS O 2 VIVIENDAS DE ALQUILER TEMPORARIO compartiendo  instalaciones comunes: jardines, quincho, piscina, etc, en un mismo terreno de superficie mínima de lote permitido,  sin división física del predio. Una eventual subdivisión deberá prever el cumplimiento de las Normas Urbanísticas",NO,1,1,219,21,1,1,1,3,3,219,219,219,1,3,3,3,3,219,219,219,219,1,1,1,1,1,219,1,1,219,219,3,1,1,218,3,219,1,1,219,1,1,216
RESIDENCIAL,C,RE_C,"CONJUNTO DE HASTA 2 VIVIENDAS  APAREADAS (departamento, duplex) O 2 CABAÑAS APAREADAS  O 2 VIVIENDAS APAREADAS DE ALQUILER TEMPORARIO en un mismo terreno de superficie mínima de lote permitido,  sin división física del predio. Una eventual subdivisión deberá prever el cumplimiento de las Normas Urbanísticas. Puede organizarse en PH ",NO,3,3,219,21,1,1,1,3,3,219,219,219,1,3,3,3,3,219,219,219,219,219,219,219,1,1,219,1,1,219,219,3,1,1,218,3,219,1,1,3,3,3,216
RESIDENCIAL,D,RE_D, VIVIENDA COLECTIVA (DEPARTAMENTOS):  Edificio o conjunto de edificios que contienen 3 o más unidades de vivienda- Se organiza en PH,SI ,3,3,3,21,1,1,29,3,3,3,3,3,3,3,3,3,3,219,3,3,29,29,210,210,1,3,3,1,29,29,29,29,1,1,218,29,3,3,3,3,3,3,3
RESIDENCIAL,E,RE_E,HOTEL,SI  ,29,29,1,1,1,1,1,3,3,219,3,219,3,3,3,3,3,1,1,1,219,1,1,1,29,29,219,1,1,1,1,3,1,1,218,219,1,1,1,26,29 219 ,29 219 ,1
RESIDENCIAL,E,RE_E,MOTEL,SI,29,29,1,1,1,1,1,3,3,219,3,219,3,3,3,3,3,1,1,1,219,1,1,1,29,29,219,1,1,1,1,3,1,1,218,219,1,1,1,26,29 219 ,29 219 ,1
RESIDENCIAL,E,RE_E,APART-HOTEL,SI ,29,29,1,1,1,1,1,3,3,219,3,219,3,3,3,3,3,1,1,1,219,1,1,1,29,29,219,1,1,1,1,3,1,1,218,219,1,1,1,26,29 219 ,29 219 ,1
RESIDENCIAL,E,RE_E,REFUGIO,SI,29,29,1,1,1,1,1,3,3,219,3,219,3,3,3,3,3,1,1,1,219,1,1,1,29,29,219,1,1,1,1,3,1,1,218,219,1,1,1,26,29 219 ,29 219 ,1
RESIDENCIAL,E,RE_E,HOSPEDAJE (RESIDENCIAL) ,SI,29,29,1,1,1,1,1,3,3,219,3,219,3,3,3,3,3,1,1,1,219,1,1,1,29,29,219,1,1,1,1,3,1,1,218,219,1,1,1,26,29 219 ,29 219 ,1
RESIDENCIAL,E,RE_E,COLONIA DE VACACIONES. TODO EDIFICIO VACACIONAL EJECUTADO EN UNA UNIDAD FUNCIONAL,SI,29,29,1,1,1,1,1,3,3,219,3,219,3,3,3,3,3,1,1,1,219,1,1,1,29,29,219,1,1,1,1,3,1,1,218,219,1,1,1,26,29 219 ,29 219 ,1
RESIDENCIAL,F,RE_F,HOSTERÍA ,SI,29,29,1,1,1,1,1,1,1,3,3,219,3,3,3,3,3,1,1,1,219,1,1,1,29,29,219,1,1,1,1,1,1,1,218,219,1,1,1,26,29 219,29 219,1
RESIDENCIAL,F,RE_F,POSADA,SI,29,29,1,1,1,1,1,1,1,3,3,219,3,3,3,3,3,1,1,1,219,1,1,1,29,29,219,1,1,1,1,1,1,1,218,219,1,1,1,26,29 219,29 219,1
RESIDENCIAL,G,RE_G,"INTERNADOS, SIN ASISTENCIA MÉDICA  ",SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
RESIDENCIAL,G,RE_G,ASILOS ,SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
RESIDENCIAL,G,RE_G,CASA CUNA,SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
RESIDENCIAL,G,RE_G,CONVENTO,SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
RESIDENCIAL,G,RE_G,GERIATRICOS,SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
RESIDENCIAL,G,RE_G,HOSPICIO,SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
RESIDENCIAL,G,RE_G,HOGAR DE DIA ,SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
RESIDENCIAL,G,RE_G,HOGAR DE TRÁNSITO,SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
RESIDENCIAL,G,RE_G,MONASTERIO,SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
RESIDENCIAL,G,RE_G,INTERNADO,SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
RESIDENCIAL,G,RE_G,RESIDENCIA PARA MAYORES,SI,3,3,1,3,1,1,219,1,1,3,3,219,1,3,3,3,3,3,3,3,3,1,1,1,29,29,3,1,3,1,3,1,1,1,218,1,1,1,1,3,3,3,3
LOTEOS,A,LO_A,LOTEOS/FRACCIONAMIENTOS /PARCELAMIENTOS/ RESIDENCIALES PÚBLICOS En su trazado cuentan con calles públicas,SI,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3
LOTEOS,B,LO_B,"LOTEOS RESIDENCIALES PRIVADOS (Conjuntos Inmobiliarios) Deben contar con una fracción de terreno frentista a calle pública, para la ubicación de la garita o casilla de seguridad, cuya superficie es definida por el proponente ",SI,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,1,1,1,1,3,3,1,1,1,1,3,29,218,1,1,3,3,3,3,3,3
LOTEOS,B,LO_B,"LOTEOS/FRACCIONAMIENTOS /PARCELAMIENTOS RESIDENCIALES PRIVADOS, COUNTRIES (Conjuntos Inmobiliarios) Deben contar con una fracción de terreno frentista a calle pública, para la ubicación de la garita o casilla de seguridad, cuya superficie es definida por el proponente ",SI,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,1,1,1,1,3,3,1,1,1,1,3,29,218,1,1,3,3,3,3,3,3
LOTEOS,B,LO_B,"LOTEOS /FRACCIONAMIENTOS /PARCELAMIENTOS RESIDENCIALES PRIVADOS, CLUBES DE CAMPO (Conjuntos Inmobiliarios) Deben contar con una fracción de terreno frentista a calle pública, para la ubicación de la garita o casilla de seguridad, cuya superficie es definida por el proponente ",SI,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,1,1,1,1,3,3,1,1,1,1,3,29,218,1,1,3,3,3,3,3,3
LOTEOS,B,LO_B,"LOTEOS/FRACCIONAMIENTOS /PARCELAMIENTOS RESIDENCIALES PRIVADOS NÁUTICOS O SIMILARES (Conjuntos Inmobiliarios) Deben contar con una fracción de terreno frentista a calle pública, para la ubicación de la garita o casilla de seguridad, cuya superficie es definida por el proponente ",SI,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,1,1,1,1,3,3,1,1,1,1,3,29,218,1,1,3,3,3,3,3,3
LOTEOS,C,LO_C,"LOTEOS/FRACCIONAMIENTOS /PARCELAMIENTOS PRODUCTIVOS PRIMARIOS. En ellos se desarrollan actividades agrícolas, forestales,  turisticas etc., que pueden complementarse con actividades residenciales ",SI,222,222,1,3,3,3,3,3,3,3,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,28,28,28,28,28,3
LOTEOS,C,LO_C,"LOTEOS/ FRACCIONAMIENTOS /PARCELAMIENTOS PRODUCTIVOS PRIMARIOS, PARQUES EMPRESARIALES (Conjuntos inmobiliarios). En ellos se desarrollan actividades agrícolas, forestales,  turisticas etc., que pueden complementarse con actividades residenciales ",SI,222,222,1,3,3,3,3,3,3,3,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,28,28,28,28,28,3
LOTEOS,C,LO_C,"LOTEOS/FRACCIONAMIENTOS /PARCELAMIENTOS PRODUCTIVOS PRIMARIOS, PARQUES  NÁUTICOS (Conjuntos inmobiliarios). En ellos se desarrollan actividades agrícolas, forestales,  turisticas etc., que pueden complementarse con actividades residenciales ",SI,222,222,1,3,3,3,3,3,3,3,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,28,28,28,28,28,3
LOTEOS,C,LO_C,"LOTEOS/FRACCIONAMIENTOS /PARCELAMIENTOS PRODUCTIVOS PRIMARIOS, PARQUES TURÍSTICOS O SIMILARES (Conjuntos inmobiliarios). En ellos se desarrollan actividades agrícolas, forestales,  turisticas etc., que pueden complementarse con actividades residenciales ",SI,222,222,1,3,3,3,3,3,3,3,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,1,28,28,28,28,28,3
LOTEOS,D,LO_D,"LOTEOS /FRACCIONAMIENTOS /PARCELAMIENTOS INDUSTRIALES. En ellos se desarrollan actividades industriales, de servicios y complementarias ",SI,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26,26,26,26,3,3,1
LOTEOS,D,LO_D,"LOTEOS /FRACCIONAMIENTOS /PARCELAMIENTOS DE SERVICIOS. En ellos se desarrollan actividades industriales, de servicios y complementarias ",SI,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26,26,26,26,3,3,1
LOTEOS,D,LO_D,"LOTEOS/FRACCIONAMIENTOS /PARCELAMIENTOS INDUSTRIALES, PARQUES INDUSTRIALES. En ellos se desarrollan actividades industriales, de servicios y complementarias ",SI,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26,26,26,26,3,3,1
LOTEOS,D,LO_D,"LOTEOS /FRACCIONAMIENTOS /PARCELAMIENTOS INDUSTRIALES, PARQUES EMPRESARIALES. En ellos se desarrollan actividades industriales, de servicios y complementarias ",SI,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,26,26,26,26,3,3,1
